date,Tr,scen
2012-10-19,1.0606537154399023,Control
2012-10-20,1.1582324093629546,Control
2012-10-21,0.7443250245032856,Control
2012-10-22,0.6040177555896458,Control
2012-10-23,0.34697555768077315,Control
2012-10-24,0.29901468213626176,Control
2012-10-25,0.3827038843707059,Control
2012-10-26,0.07513698703011626,Control
2012-10-27,0.058375357058617135,Control
2012-10-28,0.18028199210347087,Control
2012-10-29,0.13214068520472727,Control
2012-10-30,0.5439490737968994,Control
2012-10-31,0.18145990586184577,Control
2012-11-01,0.21330488106669632,Control
2012-11-02,0.7012614650879403,Control
2012-11-03,0.47719357432281073,Control
2012-11-04,0.20120943652818557,Control
2012-11-05,0.21700434325795143,Control
2012-11-06,0.05761568711146681,Control
2012-11-07,0.004386519678150215,Control
2012-11-08,0.0037274632867816972,Control
2012-11-09,0.0037274632867816972,Control
2012-11-10,0.0037274632867816972,Control
2012-11-11,0.0037274632867816972,Control
2012-11-12,0.0037274632867816972,Control
2012-11-13,0.0037274632867816972,Control
2012-11-14,0.0037274632867816972,Control
2012-11-15,0.0037274632867816972,Control
2012-11-16,0.0037274632867816972,Control
2012-11-17,0.0037274632867816972,Control
2012-11-18,0.0037274632867816972,Control
2012-11-19,0.0037274632867816972,Control
2012-11-20,0.0037274632867816972,Control
2012-11-21,0.0037274632867816972,Control
2012-11-22,0.0037274632867816972,Control
2012-11-23,0.0037274632867816972,Control
2012-11-24,0.0037274632867816972,Control
2012-11-25,0.0037274632867816972,Control
2012-11-26,0.0037274632867816972,Control
2012-11-27,0.0037274632867816972,Control
2012-11-28,0.0037274632867816972,Control
2012-11-29,0.0037274632867816972,Control
2012-11-30,0.0037274632867816972,Control
2012-12-01,0.0037274632867816972,Control
2012-12-02,0.0037274632867816972,Control
2012-12-03,0.0037274632867816972,Control
2012-12-04,0.0037274632867816972,Control
2012-12-05,0.0037274632867816972,Control
2012-12-06,0.0037274632867816972,Control
2012-12-07,0.0037274632867816972,Control
2012-12-08,0.0037274632867816972,Control
2012-12-09,0.0037274632867816972,Control
2012-12-10,0.0037274632867816972,Control
2012-12-11,0.0037274632867816972,Control
2012-12-12,0.0037274632867816972,Control
2012-12-13,0.0037274632867816972,Control
2012-12-14,0.0037274632867816972,Control
2012-12-15,0.0037274632867816972,Control
2012-12-16,0.0037274632867816972,Control
2012-12-17,0.0037274632867816972,Control
2012-12-18,0.0037274632867816972,Control
2012-12-19,0.0037274632867816972,Control
2012-12-20,0.0037274632867816972,Control
2012-12-21,0.0037274632867816972,Control
2012-12-22,0.0037274632867816972,Control
2012-12-23,0.0037274632867816972,Control
2012-12-24,0.0037274632867816972,Control
2012-12-25,0.0037274632867816972,Control
2012-12-26,0.0037274632867816972,Control
2012-12-27,0.0037274632867816972,Control
2012-12-28,0.0037274632867816972,Control
2012-12-29,0.0037274632867816972,Control
2012-12-30,0.0037274632867816972,Control
2013-03-13,0.00913652608767349,Control
2013-03-14,0,Control
2013-03-15,0,Control
2013-03-16,0,Control
2013-03-17,0,Control
2013-03-18,0.041209005422478635,Control
2013-03-19,0.6321295663548651,Control
2013-03-20,0.4978219960214136,Control
2013-03-21,0.6994990940169151,Control
2013-03-22,1.1210841695057607,Control
2013-03-23,1.071643416584282,Control
2013-03-24,0.7691836854023417,Control
2013-03-25,0.07064268242466665,Control
2013-03-26,0.37434151555084694,Control
2013-03-27,1.1382603347905347,Control
2013-03-28,0.35215056491814567,Control
2013-03-29,0.06272077159805507,Control
2013-03-30,0.06933436881352821,Control
2013-03-31,1.0709768990748978,Control
2013-04-01,1.1709850661034937,Control
2013-04-02,1.38586603215887,Control
2013-04-03,0.9869116854381056,Control
2013-04-04,1.4319108938204075,Control
2013-04-05,0.9004903208698621,Control
2013-04-06,1.358632081767842,Control
2013-04-07,1.2241206992723332,Control
2013-04-08,0.6926505638555325,Control
2013-04-09,0.08738410296770989,Control
