DateTime,Symbol,Amount
2011-09-26T00:00:00.0000000+02:00,O18,-13.72
2011-10-24T00:00:00.0000000+02:00,H2,-96.94
2011-10-24T00:00:00.0000000+02:00,O18,-13.42
2011-11-21T00:00:00.0000000+01:00,H2,-99.36
2011-11-21T00:00:00.0000000+01:00,O18,-13.72
2011-12-19T00:00:00.0000000+01:00,H2,-97.64
2011-12-19T00:00:00.0000000+01:00,O18,-13.5
2012-01-16T12:00:00.0000000+01:00,H2,-97.75
2012-01-16T12:00:00.0000000+01:00,O18,-13.48
2012-02-17T00:00:00.0000000+01:00,H2,-101.21
2012-02-17T00:00:00.0000000+01:00,O18,-13.82
2012-03-12T00:00:00.0000000+01:00,H2,-99.88
2012-03-12T00:00:00.0000000+01:00,O18,-13.66
2012-04-09T00:00:00.0000000+02:00,H2,-99.51
2012-04-09T00:00:00.0000000+02:00,O18,-13.73
2012-05-07T00:00:00.0000000+02:00,H2,-100.27
2012-05-07T00:00:00.0000000+02:00,O18,-13.63
2012-06-04T00:00:00.0000000+02:00,H2,-105.92
2012-06-04T00:00:00.0000000+02:00,O18,-14.61
2012-07-02T00:00:00.0000000+02:00,H2,-105.16
2012-07-02T00:00:00.0000000+02:00,O18,-14.37
2012-07-30T00:00:00.0000000+02:00,H2,-102.46
2012-07-30T00:00:00.0000000+02:00,O18,-14.06
2012-08-27T00:00:00.0000000+02:00,H2,-101.84
2012-08-27T00:00:00.0000000+02:00,O18,-13.99
2012-09-24T00:00:00.0000000+02:00,H2,-96.89
2012-09-24T00:00:00.0000000+02:00,O18,-13.38
2012-10-22T00:00:00.0000000+02:00,H2,-97.38
2012-10-22T00:00:00.0000000+02:00,O18,-13.44
2012-11-18T12:00:00.0000000+01:00,H2,-99.44
2012-11-18T12:00:00.0000000+01:00,O18,-13.73
2012-12-17T00:00:00.0000000+01:00,H2,-99.63
2012-12-17T00:00:00.0000000+01:00,O18,-13.74
2013-01-14T00:00:00.0000000+01:00,H2,-100.27
2013-01-14T00:00:00.0000000+01:00,O18,-13.79
2013-02-11T00:00:00.0000000+01:00,H2,-101.27
2013-02-11T00:00:00.0000000+01:00,O18,-13.92
2013-03-14T12:00:00.0000000+01:00,H2,-102.61
2013-03-14T12:00:00.0000000+01:00,O18,-13.98
2013-04-08T00:00:00.0000000+02:00,H2,-101.89
2013-04-08T00:00:00.0000000+02:00,O18,-13.85
2013-05-06T12:00:00.0000000+02:00,H2,-98.49
2013-05-06T12:00:00.0000000+02:00,O18,-13.49
2013-06-03T12:00:00.0000000+02:00,H2,-98.62
2013-06-03T12:00:00.0000000+02:00,O18,-13.46
2013-06-27T12:00:00.0000000+02:00,H2,-106.23
2013-06-27T12:00:00.0000000+02:00,O18,-14.77
2013-07-29T00:00:00.0000000+02:00,H2,-105.83
2013-07-29T00:00:00.0000000+02:00,O18,-14.7
2013-08-26T00:00:00.0000000+02:00,H2,-104.7
2013-08-26T00:00:00.0000000+02:00,O18,-14.5
2013-09-23T00:00:00.0000000+02:00,H2,-98.98
2013-09-23T00:00:00.0000000+02:00,O18,-13.88
2013-10-21T00:00:00.0000000+02:00,H2,-98.58
2013-10-21T00:00:00.0000000+02:00,O18,-13.69
