date,Tr,Tr_rm,scen
2016-02-02,0.05204645715515891,0.028319168302522072,Control
2016-02-03,0.037374587098669226,0.02860157044966518,Control
2016-02-04,0.02633744501950324,0.029599744416548557,Control
2016-02-05,0.011537981136213496,0.030039045326990203,Control
2016-02-06,0.052274009817536486,0.028692679790406524,Control
2016-02-07,0.024244421641595397,0.029151336954059217,Control
2016-02-08,0.029504242572205963,0.02970273723825287,Control
2016-02-09,0.010785154377506694,0.028307585428535693,Control
2016-02-10,0.03536100609314326,0.027755113906043793,Control
2016-02-11,0.03994481793370078,0.028873590158608336,Control
2016-02-12,0.012662137618620277,0.028522056300609444,Control
2016-02-13,0.03129556997452531,0.032092773180042174,Control
2016-02-14,0.030247107851440858,0.03174605978796734,Control
2016-02-15,0.022223383045720215,0.031259670755847964,Control
2016-02-16,0.03251433181911841,0.03252655121635384,Control
2016-02-17,0.029639985783782668,0.03371499795566206,Control
2016-02-18,0.04199611255540686,0.03153565294465924,Control
2016-02-19,0.00661650712422898,0.03571117391173692,Control
2016-02-20,0.1022640461295947,0.04527643179719133,Control
2016-02-21,0.019390434152547684,0.04717835223710625,Control
2016-02-22,0.022694796122534784,0.04680692061933233,Control
2016-02-23,0.02852148082458894,0.05227344663338657,Control
2016-02-24,0.05199926044345834,0.053125709553604135,Control
2016-02-25,0.009433987779661245,0.05249840462623927,Control
2016-02-26,0.07111943115770786,0.0583499570954806,Control
2016-02-27,0.1652091803708871,0.051555752093493175,Control
2016-02-28,0.05687399401024971,0.05941790307842435,Control
2016-02-29,0.017023340396885342,0.06697305074914607,Control
2016-03-01,0.10904569601587767,0.07086524962993378,Control
2016-03-02,0.0415716666668286,0.07676688098946151,Control
2016-03-03,0.033213843572298694,0.08697493122784691,Control
2016-03-04,0.0885382416936077,0.09396142557682774,Control
2016-03-05,0.0071451761017707035,0.09411035143173262,Control
2016-03-06,0.1294605479415841,0.10817547814409799,Control
2016-03-07,0.128466863512639,0.12526726564957819,Control
2016-03-08,0.08301226515561674,0.13031730570153685,Control
2016-03-09,0.13462209947684659,0.14545534518732034,Control
2016-03-10,0.1523466911170568,0.17091569474697949,Control
2016-03-11,0.16893035204343967,0.19118201349276415,Control
2016-03-12,0.16729414233955536,0.2193570196115977,Control
2016-03-13,0.2537857679833649,0.23846687976842643,Control
2016-03-14,0.2563083654736082,0.25632260389310463,Control
2016-03-15,0.17974625674329903,0.27688843499430227,Control
2016-03-16,0.25350421946779733,0.2912638063155132,Control
2016-03-17,0.38965873740752677,0.30715918691768446,Control
2016-03-18,0.3722667041345925,0.3007843858375329,Control
2016-03-19,0.4015952617654406,0.32783705463519563,Control
2016-03-20,0.39699859013718647,0.32666918899322983,Control
2016-03-21,0.3784470012581336,0.3330052929601929,Control
2016-03-22,0.37093390057238385,0.3523257923087591,Control
2016-03-23,0.33587729797379884,0.3738919653977592,Control
2016-03-24,0.3748820195474556,0.3843601514213147,Control
2016-03-25,0.07968313692131825,0.39345852003329046,Control
2016-03-26,0.5460315055068332,0.4031637567520791,Control
2016-03-27,0.2374356489958432,0.4162073378776288,Control
2016-03-28,0.3450138210110904,0.4308659368619609,Control
2016-03-29,0.4502332476232271,0.4338217336966134,Control
2016-03-30,0.555430642713799,0.4186348880998261,Control
2016-03-31,0.5362133417373034,0.43054723471202505,Control
2016-04-01,0.4996438647022531,0.4379645352418099,Control
2016-04-02,0.5374685758284814,0.417401700245087,Control
2016-04-03,0.5796087258948819,0.45206954052969556,Control
2016-04-04,0.5836673870387836,0.4784791800665821,Control
2016-04-05,0.412315056257519,0.49503452991980595,Control
2016-04-06,0.12326145961877596,0.4752886245517677,Control
2016-04-07,0.5416548721182411,0.4882649316443464,Control
2016-04-08,0.18352534433830597,0.4783479975192648,Control
2016-04-09,0.25815181555271266,0.4820335437391791,Control
2016-04-10,0.722785412980363,0.4498783044137311,Control
2016-04-11,0.7147487745275014,0.4245073636377255,Control
2016-04-12,0.6820081455683621,0.45236911432934696,Control
2016-04-13,0.2789879675612634,0.5003366573168225,Control
2016-04-14,0.717881641033405,0.5128234808466128,Control
2016-04-15,0.36080678695111074,0.5362127693485714,Control
2016-04-16,0.5890662229072818,0.5387501091611823,Control
2016-04-17,0.12943537533860966,0.5240262890858708,Control
2016-04-18,0.22847421617470548,0.5083582816504324,Control
2016-04-19,0.8023795659402189,0.5054252789843063,Control
2016-04-20,0.7948070614434335,0.5260965227271616,Control
2016-04-21,0.7164704015353054,0.5158500852908914,Control
2016-04-22,0.5109753833657268,0.5366374063524707,Control
