date,meta,depth,SWP,SWPt
2015-10-18,control,10,-1434.9433333333334,-849.275
2015-10-19,control,10,-1503.82,-865.54
2015-10-20,control,10,-1525.8066666666666,-869.6916666666666
2015-10-21,control,10,-1521.6316666666667,-868.795
2015-10-22,control,10,-1526.7183333333332,-869.2383333333333
2015-10-23,control,10,-1524.6016666666667,-867.8933333333333
2015-10-24,control,10,-1531.1183333333333,-869.1333333333333
2015-10-25,control,10,-1604.7766666666666,-885.1916666666666
2015-10-26,control,10,-1617.1966666666667,-887.28
2015-10-27,control,10,-1582.8766666666668,-879.45
2015-10-28,control,10,-1672.4283333333333,-899.57
2015-10-29,control,10,-1295.6583333333333,-738.8433333333334
2015-10-30,control,10,-1130.9433333333334,-682.2283333333334
2015-10-31,control,10,-1106.5916666666667,-676.17
2015-11-01,control,10,-1095.1116666666667,-673.81
2015-11-02,control,10,-1070.0116666666668,-670.015
2015-11-03,control,10,-1082.3633333333332,-678.0866666666667
2015-11-04,control,10,-1085.7216666666668,-683.27
2015-11-05,control,10,-1084.685,-687.6833333333333
2015-11-06,control,10,-1080.855,-694.105
2015-11-07,control,10,-1087.6366666666668,-704.8483333333334
2015-11-08,control,10,-1100.6766666666667,-718.1566666666666
2015-11-09,control,10,-1119.3216666666667,-733.9983333333333
2015-11-10,control,10,-1136.6383333333333,-748.7366666666667
2015-11-11,control,10,-1125.2916666666667,-752.8516666666667
2015-11-12,control,10,-1099.14,-750.7483333333333
2015-11-13,control,10,-1098.605,-753.8816666666667
2015-11-14,control,10,-1105.3983333333333,-758.1433333333333
2015-11-15,control,10,-1173.835,-778.2866666666666
2015-11-16,control,10,-1206.455,-787.515
2015-11-17,control,10,-1196.065,-785.28
2015-11-18,control,10,-1217.3533333333335,-791.5749999999999
2015-11-19,control,10,-1203.725,-787.84
2015-11-20,control,10,-1059.3633333333332,-672.6866666666666
2015-11-21,control,10,-259.2633333333333,-160.30833333333334
2015-11-22,control,10,-16.713333333333335,-16.713333333333335
2015-11-23,control,10,-14.706666666666667,-14.706666666666667
2015-11-24,control,10,-16.3,-16.3
2015-11-25,control,10,-17.398333333333333,-17.398333333333333
2015-11-26,control,10,-13.676666666666666,-13.676666666666666
2015-11-27,control,10,-10.495,-10.495
2015-11-28,control,10,-11.433333333333334,-11.433333333333334
2015-11-29,control,10,-12.083333333333334,-12.083333333333334
2015-11-30,control,10,-12.25,-12.25
2015-12-01,control,10,-12.761666666666667,-12.761666666666667
2015-12-02,control,10,-13.575,-13.575
2015-12-03,control,10,-14.495,-14.495
2015-12-04,control,10,-15.401666666666667,-15.401666666666667
2015-12-05,control,10,-16.14666666666667,-16.14666666666667
2015-12-06,control,10,-16.85,-16.85
2015-12-07,control,10,-17.571666666666665,-17.571666666666665
2015-12-08,control,10,-18.281666666666666,-18.281666666666666
2015-12-09,control,10,-18.868333333333332,-18.868333333333332
2015-12-10,control,10,-19.388333333333332,-19.388333333333332
2015-12-11,control,10,-19.970000000000002,-19.970000000000002
2015-12-12,control,10,-20.568333333333335,-20.568333333333335
2015-12-13,control,10,-21.24,-21.24
2015-12-14,control,10,-21.833333333333332,-21.833333333333332
2015-12-15,control,10,-22.486666666666665,-22.486666666666665
2015-12-16,control,10,-22.138333333333335,-22.138333333333335
2015-12-17,control,10,-20.386666666666667,-20.386666666666667
2015-12-18,control,10,-20.075,-20.075
2015-12-19,control,10,-20.535,-20.535
2015-12-20,control,10,-21.23,-21.23
2015-12-21,control,10,-21.916666666666668,-21.916666666666668
2015-12-22,control,10,-22.428333333333335,-22.428333333333335
2015-12-23,control,10,-22.976666666666667,-22.976666666666667
2015-12-24,control,10,-23.576666666666668,-23.576666666666668
2015-12-25,control,10,-24.22833333333333,-24.22833333333333
2015-12-26,control,10,-24.958333333333332,-24.958333333333332
2015-12-27,control,10,-25.765,-25.765
2015-12-28,control,10,-26.545,-26.545
2015-12-29,control,10,-27.145,-27.145
2015-12-30,control,10,-27.541666666666668,-27.541666666666668
