date,Treatment,Total_Sap_Flow
2024-07-22,roof_vpd,0.38331331107502215
2024-07-23,control,0.5871100543727837
2024-07-23,irrigation,0.8735009363734618
2024-07-23,irrigation_vpd,0.9179509519556579
2024-07-23,roof,0.3149069103852578
2024-07-23,roof_vpd,0.34021019259950297
2024-07-24,control,0.5747864111387874
2024-07-24,irrigation,0.8763888496969349
2024-07-24,irrigation_vpd,0.9638674179997803
2024-07-24,roof,0.29466625417101017
2024-07-24,roof_vpd,0.33656514580450103
2024-07-25,control,0.4926903428956806
2024-07-25,irrigation,0.988843095717383
2024-07-25,irrigation_vpd,0.9764461513998578
2024-07-25,roof,0.24212932619785438
2024-07-25,roof_vpd,0.283146528979208
2024-07-26,control,0.43837449798162936
2024-07-26,irrigation,1.0699478372480908
2024-07-26,irrigation_vpd,1.0640346447402909
2024-07-26,roof,0.20982212317127805
2024-07-26,roof_vpd,0.2572193167587445
2024-07-27,control,0.3892431238459042
2024-07-27,irrigation,1.1282204348149711
2024-07-27,irrigation_vpd,1.0670054554021486
2024-07-27,roof,0.19161224370068813
2024-07-27,roof_vpd,0.22930769721051264
2024-07-28,control,0.3737714435874732
2024-07-28,irrigation,1.2114952854803336
2024-07-28,irrigation_vpd,1.146157135333855
2024-07-28,roof,0.18719042858162666
2024-07-28,roof_vpd,0.22868135160697287
2024-07-29,control,0.34490939573641793
2024-07-29,irrigation,1.2621337859552717
2024-07-29,irrigation_vpd,1.1822938225436284
2024-07-29,roof,0.17204622635560674
2024-07-29,roof_vpd,0.21277381470798173
2024-07-30,control,0.33066229282613285
2024-07-30,irrigation,1.3267005811778783
2024-07-30,irrigation_vpd,1.2083040401389327
2024-07-30,roof,0.16661442404676421
2024-07-30,roof_vpd,0.20622159627239336
2024-07-31,control,0.2731925740684642
2024-07-31,irrigation,1.0914255194300924
2024-07-31,irrigation_vpd,0.9941314704234508
2024-07-31,roof,0.1457005203752932
2024-07-31,roof_vpd,0.17346007935669194
2024-08-01,control,0.2135621313401516
2024-08-01,irrigation,0.7978417397990367
2024-08-01,irrigation_vpd,0.7067795032706348
2024-08-01,roof,0.1280240617279086
2024-08-01,roof_vpd,0.1287562718991972
2024-08-02,control,0.27818239960553326
2024-08-02,irrigation,1.1083202718062535
2024-08-02,irrigation_vpd,0.9777640116180911
2024-08-02,roof,0.15615721355154186
2024-08-02,roof_vpd,0.16436010348350658
2024-08-03,control,0.3112709073077054
2024-08-03,irrigation,1.2771544945919198
2024-08-03,irrigation_vpd,1.16556464465737
2024-08-03,roof,0.1747885200097453
2024-08-03,roof_vpd,0.19450084330893963
2024-08-04,control,0.306380738023259
2024-08-04,irrigation,1.3563607158539224
2024-08-04,irrigation_vpd,1.2695876042593237
2024-08-04,roof,0.17344318085859092
2024-08-04,roof_vpd,0.19697057657097145
2024-08-05,control,0.2727061435512699
2024-08-05,irrigation,1.356015017027528
2024-08-05,irrigation_vpd,1.2206992226049167
2024-08-05,roof,0.14485052687922936
2024-08-05,roof_vpd,0.1708884554265886
2024-08-06,control,0.2612787815817679
2024-08-06,irrigation,1.4093319535649074
2024-08-06,irrigation_vpd,1.2990381075853819
2024-08-06,roof,0.13511860459321737
