date,scenario,sf
2011-08-30,irrigation stop,42.253426262666665
2011-08-31,control,26.78769370808333
2011-08-31,irrigation stop,35.590689689416664
2011-09-01,control,25.75656213875
2011-09-01,irrigation stop,34.9459485795
2011-09-02,control,23.732818586416666
2011-09-02,irrigation stop,31.6130158885
2011-09-03,control,1.44840403175
2011-09-03,irrigation stop,3.2201233483333334
2011-09-04,control,21.315192677
2011-09-04,irrigation stop,27.937701188916666
2011-09-05,control,34.16116123766666
2011-09-05,irrigation stop,41.23002916141667
2011-09-06,control,29.116326159916667
2011-09-06,irrigation stop,37.81141710791667
2011-09-07,control,32.42454271925
2011-09-07,irrigation stop,39.20754103925
2011-09-08,control,35.967050188
2011-09-08,irrigation stop,46.226152380083334
2011-09-09,control,35.15319321275
2011-09-09,irrigation stop,47.297820307500004
2011-09-10,control,30.41807286975
2011-09-10,irrigation stop,42.345685928083334
2011-09-11,control,28.286795383749997
2011-09-11,irrigation stop,41.006943227166666
2011-09-12,control,31.4493382155
2011-09-12,irrigation stop,47.83453246008334
2011-09-13,control,28.692570757083335
2011-09-13,irrigation stop,45.2522415775
2011-09-14,control,29.691907531749997
2011-09-14,irrigation stop,46.65817024741667
2011-09-15,control,29.443125684500004
2011-09-15,irrigation stop,50.24884086425
2011-09-16,control,3.8417431736666665
2011-09-16,irrigation stop,9.071859661833333
2011-09-17,control,1.2767903089166666
2011-09-17,irrigation stop,3.78294619525
2011-09-18,control,8.075223780750001
2011-09-18,irrigation stop,20.336048147083332
2011-09-19,control,29.02554261166667
2011-09-19,irrigation stop,42.29981837925
2011-09-20,control,30.01742928375
2011-09-20,irrigation stop,41.342121997666666
2011-09-21,control,30.39175727241667
2011-09-21,irrigation stop,41.169848920916664
2011-09-22,control,29.066597375166666
2011-09-22,irrigation stop,38.69990822325
2011-09-23,control,29.08771393975
2011-09-23,irrigation stop,38.76485734725
2011-09-24,control,28.78757139975
2011-09-24,irrigation stop,40.13799144525
2011-09-25,control,28.669880796166666
2011-09-25,irrigation stop,40.886974154166666
2011-09-26,control,28.00874075925
2011-09-26,irrigation stop,42.51151905566667
2011-09-27,control,28.292738966583332
2011-09-27,irrigation stop,43.916146972250004
2011-09-28,control,27.498423791166665
2011-09-28,irrigation stop,43.04681305275
2011-09-29,control,27.320369524916664
2011-09-29,irrigation stop,44.916408118916664
2011-09-30,control,26.466860601583335
