dates,treatment,VPD,tmax,tmin,tmean,Es,Ea
2025-01-02,control,0.08134630092592593,6.86057,-2.5659,0.9681209722222217,0.6659830355788672,0.5846367346529413
2025-01-02,irrigation_vpd,0.15400656944444446,7.436026,-2.143053,1.7751859791666669,0.7073226703800461,0.5533161009356017
2025-01-03,control,0.03928646527777777,3.10883,-4.018086666666667,0.05126581018518563,0.6178004586062522,0.5785139933284744
2025-01-03,irrigation_vpd,0.06576507638888889,3.2245,-3.858066,0.3661242361111114,0.6316997081438845,0.5659346317549957
2025-01-04,control,0.048562754629629626,0.5474866666666667,-6.60631,-2.71793563425926,0.5080754131547979,0.4595126585251682
2025-01-04,irrigation_vpd,0.06801858333333334,0.77968,-6.502966,-2.4258478749999997,0.5181075823770247,0.4500889990436913
2025-01-05,control,0.0737941967592593,9.740372333333333,0.17808,3.4264153842592595,0.7975993958486151,0.7238051990893558
2025-01-05,irrigation_vpd,0.09780061111111112,9.993259,0.1888,3.778697354166666,0.8189652699105366,0.7211646587994256
2025-01-06,control,0.5680540810185185,11.7226,4.96489,9.24717624074074,1.176911928941685,0.6088578479231664
2025-01-06,irrigation_vpd,0.591134888888889,11.86883,4.92456,9.450199326388889,1.193405284209283,0.6022703953203943
2025-01-07,control,0.1515322337962963,7.846556666666666,0.9622966666666667,3.3954334259259262,0.7844551852460226,0.6329229514497263
2025-01-07,irrigation_vpd,0.18571749305555554,8.219646,1.35992,3.8060804652777778,0.8071057903076436,0.621388297252088
2025-01-08,control,0.07864356712962964,5.526856666666666,0.9809333333333333,3.106369601851852,0.7662599976075389,0.6876164304779093
2025-01-08,irrigation_vpd,0.097216,5.834113,0.943213,3.2618273611111115,0.7752323800775174,0.6780163800775174
2025-01-09,control,0.025853884259259257,6.840023,2.7359733333333334,5.108761675925926,0.8817910959073897,0.8559372116481304
2025-01-09,irrigation_vpd,0.04422088194444445,6.957814,2.944067,5.224402541666667,0.8888453927208214,0.844624510776377
2025-01-10,control,0.07505519907407408,4.04462,-0.10845666666666667,1.0941175462962962,0.662911262831235,0.587856063757161
2025-01-10,irrigation_vpd,0.08168777777777776,4.098453,-0.174187,1.0523368194444445,0.6609612375712949,0.5792734597935171
2025-01-11,control,0.020620138888888893,1.70165,-0.13149,0.646020162037037,0.640640134702656,0.6200199958137672
2025-01-11,irrigation_vpd,0.03045657638888888,1.767487,-0.090133,0.7287543402777777,0.6444768221804019,0.614020245791513
2025-01-12,control,0.06279059953703703,-0.19914333333333334,-3.0909666666666666,-1.7600998379629629,0.5379378598228599,0.4751472602858229
2025-01-12,irrigation_vpd,0.07888949305555555,-0.054147,-3.196107,-1.7298274097222222,0.5391843367991231,0.46029484374356755
2025-01-13,control,0.03688469907407407,-2.64609,-7.013843333333333,-5.0664955208333335,0.42147854036642196,0.38459384129234786
2025-01-13,irrigation_vpd,0.05063854861111111,-2.602206,-6.933733,-4.795357729166667,0.43020631739015486,0.37956776877904375
2025-01-14,control,0.018926699074074075,-2.7138,-7.022653333333333,-5.045994886574074,0.422441081388389,0.4035143823143149
2025-01-14,irrigation_vpd,0.041671152777777776,-1.40822,-6.757933,-4.3694754513888885,0.44540282938828146,0.4037316766105037
2025-01-15,control,0.025258400462962963,-1.94814,-6.314316666666667,-4.332635201388889,0.446253041699069,0.42099464123610597
2025-01-15,irrigation_vpd,0.051605111111111115,0.048393,-6.0565,-3.65737675,0.470308037369882,0.41870292625877087
2025-01-16,control,0.022670238425925925,-1.5973,-5.83284,-4.0603220972222225,0.45488795708899643,0.4322177186630705
2025-01-16,irrigation_vpd,0.04878117361111112,-0.14404,-5.508586,-3.3407614097222225,0.4804938233415651,0.431712649730454
2025-01-17,control,0.030716305555555556,-1.2947366666666666,-5.646156666666666,-3.7288448032407406,0.46621021968552107,0.43549391412996546
2025-01-17,irrigation_vpd,0.06517539583333334,0.503773,-5.225853,-2.9020424375,0.4971985737317685,0.4320231778984352
2025-01-18,control,0.09580604398148147,2.46863,-4.7366166666666665,-1.6597704305555556,0.5484776941445374,0.4526716501630559
2025-01-18,irrigation_vpd,0.1592165,4.71088,-4.41324,-0.5586611458333332,0.5965536418262838,0.43733714182628375
2025-01-19,control,0.0782951388888889,5.115826666666667,-3.981883333333333,-0.2975864583333327,0.6081764068752268,0.5298812679863378
2025-01-19,irrigation_vpd,0.10519152083333333,6.185633,-3.70362,0.1837263472222228,0.6294142149127756,0.5242226940794423
2025-01-20,control,0.1770031828703704,9.903802666666667,-1.3136266666666667,2.3729775324074076,0.7399627682490307,0.5629595853786603
2025-01-20,irrigation_vpd,0.20665828472222222,10.17257,-0.878093,2.8383543055555553,0.7639113806533612,0.5572530959311389
2025-01-21,control,0.05252858333333334,2.7955566666666667,-4.189206666666666,-0.9122919444444442,0.5759460498717572,0.5234174665384239
2025-01-21,irrigation_vpd,0.09284466666666666,5.142126,-4.150593,-0.15767420833333304,0.6125252732596225,0.5196806065929558
2025-01-22,control,0.22511169675925927,6.882303,-0.79789,2.703085946759259,0.7495774429659205,0.5244657462066612
2025-01-22,irrigation_vpd,0.26753264583333336,7.211253,-0.52666,3.2467559375,0.7785585906919974,0.511025944858664
2025-01-23,control,0.06114982407407406,4.338503333333334,1.5993066666666667,3.005521349537037,0.758957534396085,0.6978077103220109
2025-01-23,irrigation_vpd,0.08613194444444446,4.673973,2.161413,3.2840974722222223,0.7740514631284358,0.6879195186839913
2025-01-24,control,0.11260957638888888,6.0815866666666665,0.06794333333333333,2.8949191828703706,0.757802060024435,0.645192483635546
2025-01-24,irrigation_vpd,0.15827446527777783,7.393246,0.457033,3.4614000208333335,0.790036721043415,0.6317622557656373
2025-01-25,control,0.5404242800925926,13.472836666666666,3.208283333333333,7.905103979166667,1.0950870782508964,0.5546627981583038
2025-01-25,irrigation_vpd,0.5768923263888889,13.65169,3.939873,8.286472194444444,1.120644610617544,0.5437522842286552
2025-01-26,control,0.1471427314814815,6.427163333333334,1.0520266666666667,4.132401729166666,0.8255356306552785,0.678392899173797
2025-01-26,irrigation_vpd,0.18602492361111111,6.79784,1.50852,4.5471183125,0.8495532800635875,0.6635283564524764
2025-01-27,control,0.07628770138888886,5.54099,2.73579,4.332983115740741,0.8334676971711141,0.7571799957822253
2025-01-27,irrigation_vpd,0.09825650694444443,5.83014,2.99546,4.459942388888889,0.8409442081055956,0.7426877011611511
2025-01-28,control,0.053266032407407425,6.41753,0.13046,2.95782599537037,0.7600905023982335,0.706824469990826
2025-01-28,irrigation_vpd,0.0786174375,6.5483,0.109133,3.155998326388889,0.7714724211103452,0.6928549836103451
2025-01-29,control,0.07402292129629627,5.96962,0.32882333333333336,2.7141480949074075,0.7463405027519278,0.6723175814556315
2025-01-29,irrigation_vpd,0.10877597916666668,6.2101,1.203327,3.170732111111111,0.7703914298620939,0.6616154506954272
