dates,treatment,VPD,tmax,tmin,tmean
2024-02-01,irrigation,0.14548682175925925,7.1963333333333335,-0.4,3.071205324074074
2024-02-01,irrigation_vpd,0.14895368564814815,7.182333333333333,-0.437,3.0964513888888887
2024-02-01,roof,0.1419710199074074,7.2123333333333335,-0.6016666666666667,3.0060212962962964
2024-02-01,roof_vpd,0.1374972039351852,7.2363333333333335,-0.5216666666666666,2.9834145833333334
2024-02-02,control,0.1347021400462963,7.7156666666666665,1.1096666666666666,4.1477375
2024-02-02,irrigation,0.13418178078703705,7.621,1.0656666666666668,4.145203472222223
2024-02-02,irrigation_vpd,0.13805899027777777,7.634333333333333,1.1506666666666667,4.1829175925925925
2024-02-02,roof,0.13253292615740742,7.697333333333333,0.8473333333333334,4.13466087962963
2024-02-02,roof_vpd,0.1268375662037037,7.646,0.8963333333333333,4.095825
2024-02-03,control,0.16368918773148147,8.693667,0.18766666666666668,3.486714588425926
2024-02-03,irrigation,0.15704297083333332,8.019,0.2996666666666667,3.420617132175926
2024-02-03,irrigation_vpd,0.16757671180555556,8.474667,0.37366666666666665,3.565486807175926
2024-02-03,roof,0.15632096412037036,8.379,0.114,3.400449305324074
2024-02-03,roof_vpd,0.14621688773148148,8.272000333333333,0.09766666666666667,3.302140741203704
2024-02-04,control,0.17551290486111112,9.8966666666666665,-0.31333333333333335,3.5895374979166665
2024-02-04,irrigation,0.16485903842592592,9.433333333333334,-0.2926666666666667,3.464838191203704
2024-02-04,irrigation_vpd,0.17288708217592594,9.542,-0.122,3.5844018502314814
2024-02-04,roof,0.16674065138888888,9.908666666666667,-0.7556666666666667,3.4517819453703704
2024-02-04,roof_vpd,0.15781547685185185,10.254666666666667,-0.7003333333333334,3.369678471296296
2024-02-05,control,0.23033599166666666,11.007,0.5616666666666666,4.152764813657408
2024-02-05,irrigation,0.21891174837962962,10.69,0.625,4.072575466203704
2024-02-05,irrigation_vpd,0.23007006990740742,10.760333333333334,0.713,4.193196761111111
2024-02-05,roof,0.22802346921296296,11.363666666666667,0.372,4.151782177777778
2024-02-05,roof_vpd,0.21338438726851852,11.037333333333333,0.43166666666666664,4.011649072685185
2024-02-06,control,0.2512195111111111,9.958333,-0.06933333333333333,3.6399451375
