Date,TreeNr,Time,LWP1_bar,LWP2_bar,LWP3_bar,Method,LWP_mean,TWD,gs,sapflow,PRI,SMP_1cm,SMP_20cm,SMP_80cm,SMP_110cm,SMP_160cm,SMP_mean,VPD_kPa,pd_md
2021-07-21,8,03:30:00,3,3,4,unbagged,3.3,183,,,,-48.8,-18.6,-87.1,-182.4,-227.5,-116.8,0.822768445,pd
2021-07-21,8,08:47:00,13,14,17,unbagged,14.7,,,,,-49.8,-18.8,-86.2,-181.6,-221.6,-115.3,0.840735982,md
2021-07-21,8,12:14:00,17,22,23,unbagged,20.7,202,318.8,8.1,16,-53.7,-19.6,-87.7,-184.1,-232.8,-118.8,1.771851724,md
2021-07-21,8,14:53:00,16,17,17,unbagged,16.7,,,,,-56.8,-20.1,-89,-186.3,-243.1,-121.8,2.298493481,md
2021-07-21,8,16:53:00,15,15,16,unbagged,15.3,,,,,-60,-20.5,-89.6,-189.1,-252.4,-124.6,2.287959809,md
2021-08-26,8,11:57:00,13,14,15,bagged,14,215,331.6,6.7,10,-3675.1,-650.2,-620.5,-646.2,-681.7,-742.2,1.418570955,md
2021-08-26,8,14:48:00,17,16,17,bagged,16.7,,,,,-3863,-668.8,-635.1,-665.6,-690.3,-763.4,2.030826501,md
2021-08-26,8,03:34:00,7,8,8,unbagged,7.7,185,,,,-3322.4,-644.4,-610.8,-644.8,-681.5,-726.7,0.293133447,pd
2021-08-26,8,12:03:00,21,23,23,unbagged,22.3,215,331.6,6.7,10,-3675.1,-650.2,-620.5,-646.2,-681.7,-742.2,1.418570955,md
2021-08-26,8,14:55:00,25,27,31,unbagged,27.7,,,,,-3863,-668.8,-635.1,-665.6,-690.3,-763.4,2.030826501,md
2021-09-07,8,12:15:00,23,24,24,bagged,23.7,372,164.7,4.8,18,-7206.8,-1090.9,-1062.8,-1115.6,-1078.8,-1278.9,2.053038015,md
2021-09-07,8,14:58:00,25,25,27,bagged,25.7,,,,,-7772.4,-1108,-1071.8,-1125.5,-1092.7,-1308.7,2.23488006,md
2021-09-07,8,04:50:00,17,18,17,unbagged,17.3,331,,,,-6899.6,-1076.6,-1050.7,-1110.7,-1076.5,-1260.6,0.72385646,pd
2021-09-07,8,12:11:00,23,24,26,unbagged,24.3,372,164.7,4.8,18,-7206.8,-1090.9,-1062.8,-1115.6,-1078.8,-1278.9,2.053038015,md
2021-09-07,8,14:54:00,27,27,28,unbagged,27.3,,,,,-7772.4,-1108,-1071.8,-1125.5,-1092.7,-1308.7,2.23488006,md
2022-06-14,8,08:26:00,19,19,20,bagged,19.3,,,,,-3424.6,-906.9,-892.1,-928.2,-962.6,-997.6,1.235988151,md
2022-06-14,8,11:57:00,18,20,21,bagged,19.7,320,115.8,4.5,-48,-3603.6,-918.4,-904.2,-935.7,-963.4,-1011.5,2.253928613,md
2022-06-14,8,14:55:00,19,20,20,bagged,19.7,,,,,-3643.4,-935.2,-911.2,-949.8,-972,-1024.4,2.762723452,md
2022-06-14,8,03:06:00,14,13,13,unbagged,13.3,260,,,,-3035.1,-919.1,-887.7,-924.8,-964.6,-987.3,0.858637247,pd
2022-06-14,8,08:31:00,22,22,23,unbagged,22.3,,,,,-3424.6,-906.9,-892.1,-928.2,-962.6,-997.6,1.235988151,md
2022-06-14,8,12:06:00,22,22,23,unbagged,22.3,320,115.8,4.5,-48,-3603.6,-918.4,-904.2,-935.7,-963.4,-1011.5,2.253928613,md
2022-06-14,8,15:03:00,22,24,24,unbagged,23.3,,,,,-3643.4,-935.2,-911.2,-949.8,-972,-1024.4,2.762723452,md
2022-07-11,8,13:12:00,28,30,30,bagged,29.3,400,85.7,3.5,-52,-3299,-1212.9,-1304.8,-1421.5,-1293.6,-1368.3,2.22042274,md
2022-07-11,8,03:34:00,24,24,25,unbagged,24.3,375,,,,-2806.9,-1222.2,-1301,-1413.8,-1294.8,-1352.9,0.747298931,pd
2022-07-11,8,13:08:00,29,30,30,unbagged,29.7,400,85.7,3.5,-52,-3299,-1212.9,-1304.8,-1421.5,-1293.6,-1368.3,2.22042274,md
2022-08-13,8,13:02:00,42,45,45,bagged,44,642,28.38,2,-62,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-08-13,8,04:03:00,39,39,40,unbagged,39.3,645,,,,-5075.2,-1456.6,-1534.7,-1768.2,-1550.9,-1684.8,1.104742965,pd
2022-08-13,8,13:09:00,43,46,47,unbagged,45.3,642,28.38,2,-62,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-11-02,8,11:23:00,17,18,19,unbagged,18,,,,,-20.5,-21.1,-1221.8,-920.4,-628.1,-659.9,,md
2021-06-01,13,07:22:00,5,5,6,bagged,5.3,,,,,,,,,,,,md
2021-06-01,13,09:21:00,6,6,6,bagged,6,,,,,,,,,,,,md
