date,sensor_loc,TWD_pd,TWD_md,MDS,TWD_pdn,MDS_norm,LWP_md,LWP_pd,year,month
2021-09-21,root,92.23975625,94.513035625,2.2732793750000004,0.8978534689936167,0.018128373204299615,,,2021,9
2021-09-21,stem,20.152124833333332,51.933105499999996,31.780980666666665,0.15690103647173287,0.22654391313712774,-0.9482045881390465,,2021,9
2021-09-22,root,92.303628625,98.82074425,6.517115624999998,0.8967845491636616,0.06243748899799384,,,2021,9
2021-09-22,stem,39.43518866666667,92.32564033333334,52.89045166666667,0.28880571504860014,0.3966726464251208,-1.1998443936355083,,2021,9
2021-09-23,root,92.447477,105.1060505,12.658573499999996,0.8976517176898436,0.13777531888802838,,,2021,9
2021-09-23,stem,70.7942905,126.46779333333333,55.67350283333333,0.5292985096434513,0.41404813206334723,-1.4141237751760827,,2021,9
2021-09-24,root,99.36305675,110.78501375,11.421957000000008,0.9811611769575683,0.11149312542330475,,,2021,9
2021-09-24,stem,116.29537499999999,163.65283349999999,47.3574585,0.8708507582651123,0.35787268910512277,-1.6454179877802615,,2021,9
2021-09-25,root,102.30633125,112.62923500000001,10.32290375,1.011575395535552,0.09893465530768213,,,2021,9
2021-09-25,stem,144.09966283333333,180.985448,36.885785166666665,1.0839722531289073,0.2788339493897734,-1.7534826669061527,-0.2593917954741881,2021,9
2021-09-26,root,100.614731625,99.915318625,-0.6994129999999956,0.993449444728675,-0.007276670417870569,,,2021,9
2021-09-26,stem,125.88177066666667,138.88281466666666,13.001044000000002,0.9615917469284011,0.09449932771082152,-1.4890202010608498,-0.27267544360736495,2021,9
2021-09-27,root,99.41190825000001,106.53757125,7.125662999999995,0.9797574819539097,0.0682772532332566,,,2021,9
2021-09-27,stem,129.5882895,161.22012133333334,31.631831833333333,0.9817714836778578,0.23784202405647614,-1.6290562400407833,-0.23021432360782068,2021,9
2021-09-28,root,98.045893375,112.390315125,14.34442175,0.9735168470095398,0.14013655651584114,,,2021,9
2021-09-28,stem,138.16716816666667,184.195358,46.02818983333333,1.0437388590362306,0.34653680868866604,-1.7745864551691946,-0.19538399960054037,2021,9
2021-09-29,root,100.878420875,125.64105162499999,24.762630749999992,1.0023995520153024,0.24909442062220485,,,2021,9
2021-09-29,stem,140.2645985,201.159568,60.8949695,1.0622330425612476,0.45711902518919406,-1.88018437508358,-0.2108794367938514,2021,9
2021-09-30,root,114.771954875,137.13280062500002,22.36084575,1.1420225044972427,0.22240229982940848,,,2021,9
2021-09-30,stem,176.85042533333333,218.85382033333335,42.003395000000005,1.3369658081575648,0.3200536948010367,-1.9930997924654545,-0.5782561229047777,2021,9
2021-10-01,root,120.1076525,164.004093625,43.896441124999996,1.1931979337488943,0.43778227043760864,,,2021,10
2021-10-01,stem,184.70827266666666,256.488181,71.77990833333334,1.3967858251636565,0.5489059814712074,-2.2307244285457517,-0.6656410306414464,2021,10
2021-10-02,root,134.24905425,187.820041,53.57098675,1.332784788870435,0.5317188877946792,,,2021,10
2021-10-02,stem,203.625961,279.4380488333333,75.81208783333334,1.542074193266556,0.5776713826334587,-2.3748665011767023,-0.8297515620621961,2021,10
2021-10-03,root,159.908223125,192.22146625,32.313243125,1.5784879616995435,0.32482042526875887,,,2021,10
2021-10-03,stem,247.1897755,296.2386813333333,49.04890583333332,1.876895468333375,0.3731638278305721,-2.4777315878029866,-1.304555035045292,2021,10
2021-10-04,root,165.53425025,161.566980125,-3.9672701250000024,1.63147242782823,-0.03996070542204616,,,2021,10
2021-10-04,stem,225.81707066666667,191.82912583333334,-33.98794483333332,1.7155554980990577,-0.23925604535431547,-1.8217849349133026,-1.0707733431425135,2021,10
2021-10-05,root,133.565705,125.593196125,-7.9725088749999955,1.3192797592431496,-0.07932779028715543,,,2021,10
2021-10-05,stem,114.83631633333333,94.73635900000001,-20.09995733333333,0.8967143891623414,-0.16363416158384278,-1.2138754131345877,,2021,10
2021-10-06,root,117.3916955,136.044495875,18.652800374999998,1.152823689382769,0.1931230693400493,,,2021,10
2021-10-06,stem,92.033832,143.14645683333333,51.112624833333335,0.7030728747939937,0.39170260516077304,-1.51529787741494,,2021,10
2021-10-07,root,124.02941425,150.806069625,26.776655375,1.2235340707515843,0.2756090694131691,,,2021,10
2021-10-07,stem,132.69796616666667,195.05867866666668,62.36071250000001,1.018686226422778,0.4661310085176998,-1.8421331613136427,-0.36845674023211816,2021,10
2021-10-08,root,128.725108875,152.31094275,23.585833875000006,1.2737515148705807,0.23812864777597842,,,2021,10
2021-10-08,stem,161.79036166666668,207.19154333333333,45.401181666666666,1.2319947726019675,0.3421750303363949,-1.9207001763958027,-0.558078405452923,2021,10
2021-10-09,root,130.005005125,157.413698125,27.408693000000003,1.287860445415881,0.27414741760923556,,,2021,10
2021-10-09,stem,162.30451016666666,212.62389466666667,50.3193845,1.235116406770499,0.37723583628793284,-1.9568549371249637,-0.5357363081115155,2021,10
2021-10-10,root,135.908516125,163.5728695,27.664353375000005,1.3476989951999199,0.27569532773032196,,,2021,10
2021-10-10,stem,167.47382233333332,217.36825416666667,49.89443183333335,1.2715759742874404,0.3767141080207782,-1.9875153223556712,-0.5052774493797533,2021,10
2021-10-11,root,149.573096,191.474313375,41.901217375,1.478724834810903,0.4202827164373982,,,2021,10
2021-10-11,stem,187.57308683333332,256.6891,69.11601316666666,1.4223515925839738,0.5260752790892216,-2.2364366179899005,-0.7377731825097193,2021,10
2021-10-12,root,170.848115125,190.708071625,19.8599565,1.6843032327933376,0.2020391313493112,,,2021,10
2021-10-12,stem,217.06811483333334,253.230848,36.16273316666666,1.6459885446318054,0.27678110476646794,-2.2138469748982708,-0.9744470554984112,2021,10
2021-10-13,root,178.549079875,238.251518375,59.7024385,1.7603933324856749,0.5822662437035211,,,2021,10
2021-10-13,stem,223.08434733333334,295.43930316666666,72.35495583333334,1.6907976051883524,0.5501212057247764,-2.482852733350449,-1.0365945565057364,2021,10
2021-10-14,root,212.9064975,260.837932625,47.93143512499999,2.0867370880131957,0.4614876636557975,,,2021,10
2021-10-14,stem,257.21134333333333,316.82438233333335,59.61303899999999,1.9553927511580687,0.44998336997143223,-2.615468001303611,-1.4089810725645202,2021,10
2021-10-15,root,236.106422125,285.92118275,49.81476062499999,2.3001165162821238,0.48882339670627106,,,2021,10
2021-10-15,stem,274.20133266666664,337.8552915,63.653958833333334,2.084024372816561,0.48377156574051383,-2.7449135597694663,-1.592639827653653,2021,10
2021-10-16,root,261.64549675,304.871458875,43.225962124999995,2.546160242623539,0.4178037039958585,,,2021,10
2021-10-16,stem,300.695672,357.6254425,56.92977050000001,2.2858608367042867,0.4320783211125647,-2.8672567640948685,-1.882425518835857,2021,10
2021-10-17,root,282.104205,323.97757275,41.87336774999999,2.7395649761977614,0.40076875171380855,,,2021,10
