date,depth,messvar_name,SWP
2018-06-29,-0.05,PsiSoil05_kPa_Avg,-13.773814652777778
2018-06-29,-0.15,PsiSoil15_kPa_Avg,-29.864215972222222
2018-06-29,-0.45,PsiSoil45_kPa_Avg,-11.679423125
2018-06-30,-0.05,PsiSoil05_kPa_Avg,-14.666214027777778
2018-06-30,-0.15,PsiSoil15_kPa_Avg,-33.249393680555556
2018-06-30,-0.45,PsiSoil45_kPa_Avg,-12.213189027777778
2018-07-01,-0.05,PsiSoil05_kPa_Avg,-16.4100925
2018-07-01,-0.15,PsiSoil15_kPa_Avg,-37.793298541666665
2018-07-01,-0.45,PsiSoil45_kPa_Avg,-12.937925
2018-07-02,-0.05,PsiSoil05_kPa_Avg,-18.97969048611111
2018-07-02,-0.15,PsiSoil15_kPa_Avg,-42.52970590277778
2018-07-02,-0.45,PsiSoil45_kPa_Avg,-13.910295902777777
2018-07-03,-0.05,PsiSoil05_kPa_Avg,-22.837277708333335
2018-07-03,-0.15,PsiSoil15_kPa_Avg,-41.862706805555554
2018-07-03,-0.45,PsiSoil45_kPa_Avg,-12.833271805555556
2018-07-04,-0.05,PsiSoil05_kPa_Avg,-23.34461236111111
2018-07-04,-0.15,PsiSoil15_kPa_Avg,-38.120329375
2018-07-04,-0.45,PsiSoil45_kPa_Avg,-11.418939375
2018-07-05,-0.05,PsiSoil05_kPa_Avg,-17.95863342361111
2018-07-05,-0.15,PsiSoil15_kPa_Avg,-36.376467777777776
2018-07-05,-0.45,PsiSoil45_kPa_Avg,-11.157985347222223
2018-07-06,-0.05,PsiSoil05_kPa_Avg,-9.738450493055556
2018-07-06,-0.15,PsiSoil15_kPa_Avg,-21.801680416666667
2018-07-06,-0.45,PsiSoil45_kPa_Avg,-10.267328680555556
2018-07-07,-0.05,PsiSoil05_kPa_Avg,-9.329252527777777
2018-07-07,-0.15,PsiSoil15_kPa_Avg,-17.37250298611111
2018-07-07,-0.45,PsiSoil45_kPa_Avg,-9.92456076388889
2018-07-08,-0.05,PsiSoil05_kPa_Avg,-9.324268791666666
2018-07-08,-0.15,PsiSoil15_kPa_Avg,-18.824993958333334
2018-07-08,-0.45,PsiSoil45_kPa_Avg,-9.941218756944444
2018-07-09,-0.05,PsiSoil05_kPa_Avg,-9.419310465277778
2018-07-09,-0.15,PsiSoil15_kPa_Avg,-20.159552083333335
2018-07-09,-0.45,PsiSoil45_kPa_Avg,-9.723773395833334
2018-07-10,-0.05,PsiSoil05_kPa_Avg,-9.918800583333333
2018-07-10,-0.15,PsiSoil15_kPa_Avg,-24.522418263888888
2018-07-10,-0.45,PsiSoil45_kPa_Avg,-9.984505423611111
2018-07-11,-0.05,PsiSoil05_kPa_Avg,-11.685817819444445
2018-07-11,-0.15,PsiSoil15_kPa_Avg,-37.38358041666667
2018-07-11,-0.45,PsiSoil45_kPa_Avg,-11.7769471875
2018-07-12,-0.05,PsiSoil05_kPa_Avg,-13.378448125
2018-07-12,-0.15,PsiSoil15_kPa_Avg,-48.510419444444445
2018-07-12,-0.45,PsiSoil45_kPa_Avg,-14.272170277777779
2018-07-13,-0.05,PsiSoil05_kPa_Avg,-15.063610902777778
2018-07-13,-0.15,PsiSoil15_kPa_Avg,-54.80719083333333
2018-07-13,-0.45,PsiSoil45_kPa_Avg,-15.837849930555555
2018-07-14,-0.05,PsiSoil05_kPa_Avg,-16.627653402777778
2018-07-14,-0.15,PsiSoil15_kPa_Avg,-58.74174611111111
2018-07-14,-0.45,PsiSoil45_kPa_Avg,-17.666613055555555
2018-07-15,-0.05,PsiSoil05_kPa_Avg,-17.630153194444443
