scen,swc_nse15,swc_rmse15,swc_cor15,swc_nse50,swc_rmse50,swc_cor50,swc_nse80,swc_rmse80,swc_cor80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,-184.91017182285566,0.18809703348417664,0.5574425730813349,-4.269900719747231,0.046799502904594045,0.6126720831593697,-8.114149892053286,0.02648462475209881,0.5628012996743305,-7.5230197131340955,-1.7343434826737147,-0.2764766713834774,0.6965230894565714,0.11738983691956484,4.26093039916052
1424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,-5.725669716923468,0.03577652362530445,0.6516190794585937,-108.20274049518693,0.21303786053706095,0.6189622395838077,-983.5963200531188,0.27527377887057164,0.5670294179490992,-5.886624947355683,-0.5469781274075718,0.21778141021145347,0.615869388189507,0.11747525155171279,4.382621222638953
1426,-94.22260980396346,0.13461715570942506,0.6062253215584397,-13.123087062858229,0.07661341858103309,0.503392355249697,-245.66019246756656,0.1377797123294509,0.44854319342206755,-7.29668060984538,-2.5597281496092226,-0.914950770841888,0.5672971580775328,-0.07994624380924775,3.5125880262829146
1427,-8.577799485048653,0.04269364557871624,0.5357810137570915,-13.35489487328691,0.07723960274785047,0.5760128449434067,-249.13805551470156,0.1387476465665471,0.49930381163515775,-5.608763073769634,-1.352967793837602,-0.09638736321440011,0.7059997090019289,-0.34562701683705077,5.288296801828334
1428,-14.294858660683452,0.053951447871918676,0.4765753701881849,-78.19754490843916,0.18142447823183708,0.697578188897497,-761.4179866128145,0.24223244195808435,0.5597168893955005,-89.64478825921015,-173.35867313089807,-344.3885321488904,0.6894495541810787,-2.391789969722845,6.789468686613624
1429,-53.92172195859553,0.10223566888276381,0.3982249043710141,-3.3687920335422383,0.04261090018974315,0.5013773001334638,-77.44195173301233,0.07769801720785854,0.4775196144711989,-6.07660467846694,-2.0229463002875585,-0.48080166783848877,0.7018417233899951,-0.8525194006033805,5.805581301492952
1430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,-0.8316610049011885,0.018670369796859626,0.5635055775868438,-11.925421168002691,0.07329297916137252,0.5149951970153677,-234.09236770983296,0.134510134083656,0.4346257990259791,-6.6845757116736095,-2.0588288338543634,-0.5210224832401051,0.6366094716870682,0.04437767167809159,4.863095903794305
1432,-32.19963816855525,0.07948717190547643,0.3483325264321323,-41.607595969434,0.13307103622899144,0.6019487785692513,-494.75728978779057,0.19533060494968113,0.5113625961277594,-7.0632623559902505,-8.396481969041552,-15.550477415322312,0.689483494708942,-1.404728024574152,6.373991161990396
1433,-83.63890051418073,0.12691570795848395,0.5011733808160067,-26.87907118094512,0.10764135936484147,0.5194785444401309,-353.68549352944706,0.16521803545611174,0.5377047615997086,-7.125428440071772,-2.2180687215247734,-0.7248007206133134,0.682039668829906,0.03397094369308595,5.139105968171673
1434,-119.9581930654262,0.15172181010569402,0.4755701218549527,-9.425392342799494,0.06582429665493206,0.5002728608303328,-207.5648734856554,0.12669408046743122,0.4457630450282669,-7.939099170616055,-2.5902090067114893,-0.9428989430093262,0.6509492470865946,0.22371801640380073,4.161195689839752
1435,-63.643955959839644,0.11091603419922688,0.41420531536819366,-34.505854280502234,0.12147586674750953,0.5575718749871414,-436.93117024395394,0.183585623782405,0.4953598130531695,-9.039379829102415,-1.7498006748497614,-0.2809980486036383,0.68064232657296,-0.6802448649330681,5.8201407877273095
1436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
