scen,twd_pd_cor,twd_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
1040,-0.6781763218554678,-0.7145666493244069,-1081.3025197773236,-1081.3025197773236,0.262861411882544,1.8605907422722614
1041,-0.6293802497985627,-0.6616343718925075,-1887.4741557223308,-1887.4741557223308,0.38419670200834816,2.9128283607997125
1042,-0.7002544456992148,-0.7557265057803484,-475.44204322200466,-475.44204322200466,0.1994408526778667,1.0811926990465102
1043,-0.6347327924633507,-0.6617132427277208,-1801.9002481165423,-1801.9002481165423,0.36927549860667286,2.9128854793225063
1044,-0.650382255227858,-0.6958186786943639,-1410.8429791868784,-1412.4532260698866,0.34900625268656876,2.8205571386693777
1045,-0.6929631128577941,-0.7430235348895122,-562.7626945359525,-562.7626945359526,0.21557895160027102,1.3111800557859135
1046,-0.6417092371615365,-0.6527068967192217,-1542.823255595667,-1542.8492024309137,0.29080484048636407,2.0299516714532073
1047,-0.6804721200577786,-0.7288104958200095,-988.7725186788133,-988.7725186788134,0.2719545925506228,1.7098073229589053
1048,-0.6663752686472222,-0.7235515229591466,-1043.9790459826982,-1043.9790459826982,0.22833201542774412,1.3597658626533835
1049,-0.6388028306652637,-0.6574472256569848,-1566.9041025611089,-1566.9042480082512,0.33236868971481676,2.6910728612434127
1050,-0.6547951936003478,-0.6786975895462946,-1383.9044480725374,-1383.904448974954,0.31717558128330087,2.6193783026661164
1051,-0.6471064892187371,-0.6828083562376448,-1534.3299995979146,-1535.0488174923264,0.36983255209189453,2.911110125884537
1052,-0.6733418289900902,-0.7032830585547836,-1183.9043912821305,-1183.9044171818382,0.20347641703982444,1.3915050962492566
1053,-0.6447254226373832,-0.673922588926005,-1612.003008161824,-1612.003008161824,0.34863672751165026,2.9117874873523655
1054,-0.6375578018544182,-0.6615132846101415,-1867.0230393216727,-1867.0230393216727,0.28793518908579513,2.64379288517031
