scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
3276,-0.7116590879088368,0.6178162217166312,-0.7561848402967938,0.7761643123393868,-1207.3170731707378,-1207.3170731707378,0.3311016540518687,2.733809156988796
3277,-0.7501804497868271,0.6576394752307076,-0.8011573727983885,0.8219171019352638,-1515.8623726389508,-1543.860645978003,0.21376663173367186,1.033204297020796
3278,-0.7252533130635708,0.6267384558272451,-0.7564478231890078,0.7834873897486402,-1958.8550983899818,-1958.8550983899818,0.5369507115307072,3.532594189022321
3279,-0.7105292972207197,0.612235107845388,-0.7663822994821379,0.7885329995207802,-5933.757206671036,-6073.209530911052,0.5975634415612772,4.027145239947122
3280,-0.7435483282495515,0.6461328961762361,-0.7639652681034962,0.791074860825309,-2674.244048895563,-2674.244048895563,0.38650143428398875,2.878794535327505
3281,-0.7402040401881379,0.6386305101759479,-0.7925543465631484,0.8123710169618106,-1465.623713462337,-1465.623713462337,0.6144820120806508,3.113543593179969
3282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3283,-0.7048559947905454,0.6114253705664788,-0.767309640301883,0.7850289329627324,-745.559845559847,-745.559845559847,0.3735128082006546,1.22067506417129
3284,-0.43449580283533507,0.38732089110176615,-0.38676598969581255,0.39173048073157873,-122.9952438889506,-122.9952438889506,0.11970454697133434,0.5123710088427748
3285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3286,-0.747236958459497,0.6517757897184504,-0.7980344823693006,0.818280236112249,-1529.0234463919887,-1529.0234463919887,0.44777748233758286,2.2077322752998914
3287,-0.7168547511688282,0.6264373465900209,-0.7745916459294674,0.7983399954812456,-5871.141230505232,-6062.573321751286,0.9084449036835607,4.2569148388301
3288,-0.7265520142017768,0.6270465086797082,-0.7636076552769979,0.788826705575695,-1761.344537815131,-1761.344537815131,0.5357906732129076,3.558822372421297
3289,-0.7467149508395808,0.6394673502842714,-0.7927917681105567,0.8149409747912595,-2392.435280944219,-2457.060917926979,0.400730256316899,2.40207323726017
