scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
7404,-76.68265288614377,0.12158847021584988,-3.0899227075069575,0.04122850373357936,-133.9485620630024,0.10191072032750534,-7.488651673670885,-2.402262756274141,-0.7840068980505102,0.6740721059477864,-0.6934573820809469,6.12065281331162
7405,-18.45374847924413,0.0608459979386757,-54.87837609362007,0.15239190972419125,-597.1353452148203,0.21455343597659715,-6.1410450326860175,-1.4722033811925486,-0.15361427618836165,0.6966825399677827,-1.797204893526989,7.098341449255064
7406,-10.314786721416379,0.04640380105459488,-1.9457704874659427,0.03498964020797657,-79.77327469828144,0.0788441700232509,-5.779342393616946,-1.4640169346191398,-0.16067619109007336,0.6698905450001723,-0.5430452083158177,6.045886133479575
7407,-255.21114800731573,0.22081541162881263,-207.5389615846174,0.2943971671361131,-1650.7754440243793,0.3565424491038869,-8.178606041198794,-6808.798976720313,-13375.719137402588,0.70319619678322,-2.3696926013450224,7.374982970844064
7408,-183.6467459504637,0.18745680011373686,-37.92309340322183,0.12718728522359318,-463.93643684767505,0.1891614054487844,-6.157451203745409,-1.7655641778149422,-0.3581037731995287,0.6990572934162794,-0.7588620786598574,6.179152636179216
7409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7411,-2.890405898451716,0.027209955256834555,-1.9843726704551239,0.03521815094030063,-113.31180376732172,0.09379534377089258,-7.309358581338223,-2.5447854400145684,-0.9029993558205525,0.678123849012196,-0.21032743767300643,5.25186329140047
7412,-110.70076292488065,0.14580030746505268,-83.87998965430607,0.18782036591028972,-813.3948699844793,0.250353262480725,-5.686473212658566,-2.4731549695663673,-0.8431782994736958,0.619643507352039,-1.4051040987555314,6.669169496872165
7413,-4.455114189940463,0.03222050130267579,-38.32566206283132,0.12784332127279288,-466.0254309809178,0.18958588733679885,-6.753783771450288,-2.1919587322377403,-0.5991220531644963,0.6538474750935097,-0.9415880306292055,6.8125897106825635
