ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,AET,ks
-0.0,-1.529098044566238,-54.332334297546716,-201.9085986605477,-385.19866162275434,-466.3022216737526,-541.3201319851426,2024-09-09,-0.22639279527410855,0.18570359470547992,0.133509120707641,0.1
-0.9711026804216637,-3.2117129129630593,-17.802568921946182,-34.068779059417324,-84.01156324829662,-125.26881424956701,-269.2058892320164,2024-09-10,-1.5362266096399568,0.27774329479125986,0.12470230233039856,0.1
-5.517436060812687,-10.207966474175711,-23.625868672537813,-31.12114017993874,-48.64190002708611,-61.82433941033096,-113.750445095944,2024-09-11,-10.751742137304168,0.6236069912399589,0.7168253695615753,0.1
-4.675550291241071,-10.319486241688951,-27.24786142996977,-34.429356696994105,-46.98900799669044,-55.568555266042026,-84.29343151723663,2024-09-12,-8.079779603019778,0.22878070213556306,0.18874800914423837,0.1
-9.332576893650334,-16.07690043746099,-31.389332543787077,-36.93975419465113,-46.64104292862732,-53.154053968577855,-73.26074184072058,2024-09-13,-13.340621729273224,0.3649077970063564,0.401031388456636,0.1
-12.220220243622238,-19.90985493495214,-35.72975745386732,-40.559016308899885,-48.40878265264634,-53.52263633143447,-68.20996560437771,2024-09-14,-13.058123468975545,0.21376421029607576,0.20414715112682025,0.1
-19.67695311665621,-27.333303902624557,-40.92966785418713,-44.57433238489196,-50.69736086362495,-54.67515913125681,-65.55292264131693,2024-09-15,-22.829628008598746,0.32784014710358905,0.34765372341800954,0.1
-33.82863480818387,-38.62573408077482,-47.96273115699578,-50.11963178766176,-54.291114489592125,-57.073750662220405,-64.67747846580782,2024-09-16,-38.218000801113085,0.559807762011092,0.5936875897027457,0.1
-46.37939407316328,-48.476080199232165,-53.72104886459212,-54.88071673844178,-57.683399278408125,-59.6108962784015,-64.81481792426398,2024-09-17,-48.021091221498935,0.27164538056772075,0.26680897647975615,0.1
-74.89936439771579,-64.45710878751264,-61.958640646918134,-61.39692157519649,-62.26656685974493,-63.11792159875342,-65.98411912073394,2024-09-18,-70.4755328712971,0.6046628149365127,0.6617518057485212,0.1
-110.6189710464836,-84.5364662815193,-71.41613403288315,-68.96088560255754,-67.79562223957393,-67.55718244369814,-68.26561302470134,2024-09-19,-89.00246396953756,0.6074503359564638,0.6340270855778084,0.1
-137.64325612370467,-101.74188232135386,-81.0783423044074,-76.96310047277555,-73.92679197555593,-72.6809487596858,-71.4618357256856,2024-09-20,-88.03667356864511,0.47779785557815446,0.5012353314476257,0.1
-168.4797106606957,-119.17099640174622,-91.42660152564287,-85.59460778063061,-80.66823543121916,-78.42704964265506,-75.41755909788374,2024-09-21,-96.63914050842027,0.5286082778389953,0.5548610936291407,0.1
