ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,cap
-38.61736515612329,-88.6559790253837,-252.32688746026614,-329.12361495241583,-415.804339512387,-460.3598221147404,-510.33577245163684,2024-09-08,-43.38810103814055,0.9239604851283314,0
-0.19995282978704032,-1.2418159496851036,-34.34764294732571,-135.84244149849187,-285.133454845696,-358.08900654715467,-438.7781977262763,2024-09-09,-0.35264764903472695,0.1329226264774383,0
-0.967671066496982,-2.9388574956726843,-14.78986740169833,-26.466811540845463,-60.46903846111877,-88.19773102448961,-192.3706851023865,2024-09-10,-2.28283316059923,0.12470230233039853,0
-5.508520807192247,-9.661801359786406,-20.761427303657214,-26.30906797456153,-39.03484797180641,-48.50956385337262,-85.54626081622267,2024-09-11,-10.7580136840176,0.7168253695615749,0
-4.557783998066766,-9.637031753857901,-24.16930900043352,-29.729540300554113,-39.25150288974355,-45.70189920717644,-66.9376349690052,2024-09-12,-8.794017615650846,0.1887480091442384,0
-9.0994993143708,-15.126627143356668,-28.151805462092685,-32.386553738267324,-39.76092782368597,-44.69106094455293,-59.688589586517445,2024-09-13,-13.674771057485145,0.401031388456636,0
-11.77841999764391,-18.605794229763877,-32.091951667419956,-35.73545685724685,-41.659657056362605,-45.506239770623516,-56.36133234813427,2024-09-14,-13.528014857654366,0.2041471511268202,0
-18.82111646813576,-25.500940973036847,-36.85164345177632,-39.44802086591918,-43.89169540731304,-46.78542491738635,-54.6187777096422,2024-09-15,-22.70368889157571,0.3476537234180094,0
-31.995751941071223,-35.84390646737929,-43.19799204379489,-44.46928627741273,-47.24486600983,-49.13587989824451,-54.326833982126594,2024-09-16,-36.084308317174916,0.5936875897027458,0
-43.107154262162325,-44.33052400148685,-48.18514995015294,-48.60867104398509,-50.22652865193847,-51.401624658150126,-54.70646273407835,2024-09-17,-44.729250646233915,0.2665522052171566,0
-69.99641945875935,-59.21225350906551,-55.44167582988107,-54.308478035647084,-54.26861304273382,-54.547948126357646,-55.99218195113089,2024-09-18,-64.38399602998769,0.6608111354461459,0
-103.8137962087491,-76.81135479538555,-63.334325903369034,-60.62506029384547,-58.943444320512505,-58.35332632028217,-58.123557639906124,2024-09-19,-81.21770348352388,0.6329032044874873,0
-130.58338216210603,-92.82523790533146,-71.31371259639367,-67.16549407322222,-63.95918380157212,-62.566853728379215,-60.864949382326415,2024-09-20,-81.33140171421422,0.5004138943883198,0
-160.7396022967117,-109.87921633268681,-80.23278584220087,-74.46254022342204,-69.60226699829315,-67.36893551100695,-64.24233793665148,2024-09-21,-87.19851049905375,0.5541783235172411,0
-194.28403741626474,-128.54771740953143,-90.24743238144663,-82.66301593025162,-75.99706199000018,-72.86430513192094,-68.29592918302299,2024-09-22,-96.12130874372062,0.618145413510713,0
-139.81424749740228,-110.5612920066119,-96.47217941797204,-89.13087916560787,-81.78306532232273,-78.14792699835269,-72.54828906184247,2024-09-23,-94.04381195440217,0.5271573160417438,0
-43.254681227225724,-57.58055828171057,-85.7510629175106,-84.87809979847874,-81.41964215104389,-79.17211127185328,-74.70269540529615,2024-09-24,-81.3220216292774,0.05611587927499356,0
-65.88414847536232,-72.03412754499439,-81.59701899453151,-80.64995953368673,-78.85333472372466,-77.67458521157899,-74.88391935671633,2024-09-25,-68.66935030356268,0.43420910113036737,0
-51.38202698150674,-61.4162447446885,-79.56922109082426,-79.31122029505752,-77.95578837282531,-77.02418691504816,-74.87301039235057,2024-09-26,-60.4525517587407,0.32084832016484477,0
-0.13114273099431262,-0.29397914420571974,-2.7016912308189127,-6.996592520230542,-23.699490380348166,-37.4032155037812,-60.51545822848726,2024-09-27,-0.27039405747811307,0.037457075724048126,0
-3.4029674020443355,-5.067002790740063,-8.456948093113475,-8.785956574385935,-10.22790986925255,-11.377374374524933,-16.00040242307659,2024-09-28,-5.258820784575954,0.237896682293632,0
-5.031048220154399,-7.425267000240315,-11.656555071281556,-11.792557286214313,-12.528673463422873,-13.106379217333199,-15.144019029394675,2024-09-29,-7.293299243324253,0.18627192581881902,0
-8.83160912731653,-11.237416337108774,-14.630552749309144,-14.331902289844496,-14.489066492542142,-14.699954921268544,-15.580549143736414,2024-09-30,-11.159041107789061,0.4223428853020048,0
-14.132499990732114,-15.643435184967725,-17.577133970057016,-16.801264381156802,-16.385697900681905,-16.262252631698868,-16.315699530227803,2024-10-01,-15.55111369540572,0.5073032530626252,0
-0.5198418889431218,-1.8583588241288913,-10.124303258622211,-13.065012396113355,-14.972693425943588,-15.668768034941632,-16.232305964010518,2024-10-02,-1.418996012416263,0.02414082956934116,0
-0.2970628554726278,-0.5732864218840967,-2.514992642192724,-2.839952648886365,-3.5808118581984836,-4.1296141280690035,-6.003728628340069,2024-10-03,-1.1958837135395528,0.2384369415494082,0
-3.3845773716564227,-4.616001086354572,-6.521085703423064,-5.858513656275212,-5.3985473668432835,-5.209178609340417,-5.0286676733113715,2024-10-04,-4.404246141577847,0.12216939172010341,0
-6.0723218785828,-7.484978250828704,-9.135910415352775,-8.236938100953076,-7.510397806623541,-7.170417237830405,-6.633507418060477,2024-10-05,-7.191821856494473,0.24176472349423653,0
-9.348050930676779,-10.424312721391486,-11.385152654405548,-10.26327383897501,-9.32294511123775,-8.873181057570475,-8.134209988161112,2024-10-06,-10.070174486917745,0.36779305306926474,0
-11.312623442764515,-12.35581255998807,-13.12800578069804,-11.917467085373364,-10.870610048855852,-10.361612454938488,-9.506311559200148,2024-10-07,-11.908647345382473,0.15595171439942562,0
-14.48921943300673,-14.773094277938648,-14.92171868532847,-13.55792498139298,-12.36881707055446,-11.789365726307262,-10.817643684605208,2024-10-08,-14.490156530516378,0.3928783316882347,0
-2.187653811246223,-4.973756312043761,-12.328799034727844,-12.720429826070115,-12.543377833905033,-12.326146204546452,-11.67391536076411,2024-10-09,-4.447522320631476,0.019532238937016274,0
-2.3586231190902742,-4.512656198415857,-9.992088192120159,-10.43151531263776,-10.758361507835243,-10.887204586036336,-10.923867450715283,2024-10-10,-4.728317314240391,0.1384013494553456,0
-0.44903504713310793,-0.9763252608513135,-3.988137395805357,-4.876572371495558,-6.106700797287634,-6.8272680725448005,-8.099986470656736,2024-10-11,-1.9192001781493868,0.22174154833077933,0
-3.7904308944476215,-5.145176480909873,-7.296159527194536,-6.704889585473332,-6.3429968198491995,-6.212082324694823,-6.1544845595321425,2024-10-12,-5.177582307223685,0.34187717523394123,0
-1.6484380352303194,-3.254662525935314,-7.466908077613997,-7.467574032760722,-7.34768715577059,-7.257786337993859,-7.028139564268306,2024-10-13,-3.703807106035662,0.11063500392266115,0
-1.5263666549305903,-2.940807277540629,-6.808324292312471,-6.888054888298918,-6.931365023880532,-6.941310505392703,-6.894957172098841,2024-10-14,-2.4269816781331346,0.038401592918162294,0
-2.1631446510872263,-3.764434960793599,-7.331157520408567,-7.155073667550974,-7.006446762354665,-6.934216149307294,-6.797884402652613,2024-10-15,-2.4435506552936466,4.003858863550884e-18,0
-4.105331588568301,-5.917749404945971,-8.843734965573304,-8.298126262299226,-7.854971177356688,-7.6456816340262455,-7.2986625567860415,2024-10-16,-5.708180846977918,0.13003143985532983,0
-7.153943789653369,-8.81847903628966,-10.808742974752926,-9.933212590198925,-9.207206810744667,-8.861074188101066,-8.28793982068321,2024-10-17,-8.495588314867621,0.2839771910419875,0
-10.66246875536942,-11.761404585450636,-12.76889741013572,-11.643726054072815,-10.6930658157795,-10.235951668307692,-9.475782737375779,2024-10-18,-11.341197253308334,0.31860543859578416,0
-3.4191885912737585,-6.213544031227912,-12.001667779959233,-11.831831255429812,-11.385637969287416,-11.095151391749344,-10.445017512639543,2024-10-19,-6.488311466574761,0.09721746792053845,0
-6.054029038764178,-8.553293269657678,-12.246037657404855,-11.7598253774422,-11.323778192729767,-11.100126253329618,-10.65211934665311,2024-10-20,-7.258772541867345,0.12039687827002893,0
-9.193561257243823,-11.298822645239145,-13.737473082709826,-12.885091164720425,-12.161153981598858,-11.809944531263568,-11.205717411583237,2024-10-21,-10.76911036102258,0.24559826611857777,0
-12.730078737269201,-14.109368840557831,-15.39959643482438,-14.278936718982091,-13.319931497315947,-12.855175136758696,-12.072443490790535,2024-10-22,-13.671190202163725,0.2730856961098418,0
-15.960358605784227,-16.60144386763959,-16.9476457689509,-15.64613035731727,-14.521082130608328,-13.973707422529479,-13.052248551241512,2024-10-23,-16.242831741338925,0.185666846675572,0
-18.97969977708552,-18.889438833020094,-18.436701613347484,-16.98809939994877,-15.727414208216976,-15.112449081711695,-14.0781488277762,2024-10-24,-18.62112116828148,0.17448103785537958,0
-22.779983789046437,-21.40286075317808,-19.96503013168639,-18.362854303812167,-16.96569196217318,-16.284510877813716,-15.144300931691504,2024-10-25,-21.333811772111858,0.22012695176970828,0
-27.418866324638273,-24.104673615663256,-21.494038497690468,-19.742043525602796,-18.21794541987557,-17.475792050054167,-16.239139582491728,2024-10-26,-24.357444481762542,0.20856372253326091,0
-32.32824630126646,-26.876292867616822,-23.0431360291472,-21.142439665678555,-19.491720229519885,-18.689357458769944,-17.359879176050313,2024-10-27,-26.929724622020075,0.18488426443368294,0
-36.195026493880206,-29.39013006203259,-24.563671994382744,-22.538947412373766,-20.777233584456148,-19.920851300651734,-18.50518844998016,2024-10-28,-28.5799804899957,0.16185429670168078,0
