 

stn;time;rka150d0
VSSIE;20150907;0.0
VSSIE;20150908;0.0
VSSIE;20150909;0.0
VSSIE;20150910;2.9
VSSIE;20150911;0.0
VSSIE;20150912;0.0
VSSIE;20150913;5.0
VSSIE;20150914;6.4
VSSIE;20150915;0.0
VSSIE;20150916;0.0
VSSIE;20150917;4.7
VSSIE;20150918;0.0
VSSIE;20150919;0.0
VSSIE;20150920;0.0
VSSIE;20150921;0.0
VSSIE;20150922;0.4
VSSIE;20150923;0.3
VSSIE;20150924;0.0
VSSIE;20150925;0.0
VSSIE;20150926;0.0
VSSIE;20150927;0.0
VSSIE;20150928;0.0
VSSIE;20150929;0.0
VSSIE;20150930;0.0
VSSIE;20151001;0.0
VSSIE;20151002;0.0
VSSIE;20151003;0.1
VSSIE;20151004;0.1
VSSIE;20151005;1.6
VSSIE;20151006;6.2
VSSIE;20151007;0.2
VSSIE;20151008;0.0
VSSIE;20151009;0.0
VSSIE;20151010;0.0
VSSIE;20151011;0.0
VSSIE;20151012;0.0
VSSIE;20151013;2.1
VSSIE;20151014;0.0
VSSIE;20151015;2.3
VSSIE;20151016;0.0
VSSIE;20151017;0.0
VSSIE;20151018;1.4
VSSIE;20151019;0.0
VSSIE;20151020;0.0
VSSIE;20151021;0.0
VSSIE;20151022;0.0
VSSIE;20151023;0.0
VSSIE;20151024;0.0
VSSIE;20151025;0.0
VSSIE;20151026;0.0
VSSIE;20151027;0.0
VSSIE;20151028;8.2
VSSIE;20151029;2.1
VSSIE;20151030;0.0
VSSIE;20151031;0.0
VSSIE;20151101;0.0
VSSIE;20151102;0.0
VSSIE;20151103;0.0
VSSIE;20151104;0.0
VSSIE;20151105;0.0
VSSIE;20151106;0.0
VSSIE;20151107;0.0
VSSIE;20151108;0.0
VSSIE;20151109;0.0
VSSIE;20151110;0.0
VSSIE;20151111;0.0
VSSIE;20151112;0.0
VSSIE;20151113;0.0
VSSIE;20151114;0.0
VSSIE;20151115;0.0
VSSIE;20151116;0.0
VSSIE;20151117;0.0
VSSIE;20151118;0.3
VSSIE;20151119;0.1
VSSIE;20151120;45.8
VSSIE;20151121;9.2
VSSIE;20151122;0.0
VSSIE;20151123;0.0
VSSIE;20151124;0.0
VSSIE;20151125;7.4
VSSIE;20151126;2.9
VSSIE;20151127;0.0
VSSIE;20151128;0.3
VSSIE;20151129;0.1
VSSIE;20151130;0.0
VSSIE;20151201;0.0
VSSIE;20151202;0.0
VSSIE;20151203;0.0
VSSIE;20151204;0.5
VSSIE;20151205;0.0
VSSIE;20151206;0.0
VSSIE;20151207;0.0
VSSIE;20151208;0.0
VSSIE;20151209;0.2
VSSIE;20151210;0.0
VSSIE;20151211;0.0
VSSIE;20151212;0.0
VSSIE;20151213;0.0
VSSIE;20151214;0.0
VSSIE;20151215;0.0
VSSIE;20151216;2.7
VSSIE;20151217;0.0
VSSIE;20151218;0.0
VSSIE;20151219;0.0
VSSIE;20151220;0.0
VSSIE;20151221;0.0
VSSIE;20151222;0.0
VSSIE;20151223;0.0
VSSIE;20151224;0.0
VSSIE;20151225;0.0
VSSIE;20151226;0.0
VSSIE;20151227;0.0
VSSIE;20151228;0.0
VSSIE;20151229;0.0
VSSIE;20151230;0.0
VSSIE;20151231;0.0
VSSIE;20160101;0.0
VSSIE;20160102;4.0
VSSIE;20160103;1.7
VSSIE;20160104;11.1
VSSIE;20160105;5.7
VSSIE;20160106;2.7
VSSIE;20160107;15.8
VSSIE;20160108;7.9
VSSIE;20160109;10.7
VSSIE;20160110;8.4
VSSIE;20160111;25.1
VSSIE;20160112;11.4
VSSIE;20160113;0.5
VSSIE;20160114;0.0
VSSIE;20160115;0.1
VSSIE;20160116;0.0
VSSIE;20160117;0.0
VSSIE;20160118;0.0
VSSIE;20160119;0.0
VSSIE;20160120;0.0
VSSIE;20160121;0.0
VSSIE;20160122;0.0
VSSIE;20160123;0.1
VSSIE;20160124;0.0
VSSIE;20160125;0.0
VSSIE;20160126;0.0
VSSIE;20160127;0.0
VSSIE;20160128;0.0
VSSIE;20160129;0.0
VSSIE;20160130;6.3
VSSIE;20160131;27.7
VSSIE;20160201;0.0
VSSIE;20160202;0.0
VSSIE;20160203;4.4
VSSIE;20160204;5.4
VSSIE;20160205;0.9
VSSIE;20160206;0.0
VSSIE;20160207;4.4
VSSIE;20160208;0.1
VSSIE;20160209;14.6
VSSIE;20160210;0.0
VSSIE;20160211;1.1
VSSIE;20160212;12.0
VSSIE;20160213;11.6
VSSIE;20160214;0.1
VSSIE;20160215;0.0
