station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRE;15.11.1902 00:00;0;;
SRE;16.11.1902 00:00;0;;
SRE;17.11.1902 00:00;0;;
SRE;18.11.1902 00:00;0;;
SRE;19.11.1902 00:00;0;;
SRE;20.11.1902 00:00;2;;
SRE;21.11.1902 00:00;0;;
SRE;22.11.1902 00:00;0;;
SRE;23.11.1902 00:00;0;;
SRE;24.11.1902 00:00;0.2;;
SRE;25.11.1902 00:00;0;;
SRE;26.11.1902 00:00;16;;
SRE;27.11.1902 00:00;0;;
SRE;28.11.1902 00:00;0;;
SRE;29.11.1902 00:00;0;;
SRE;30.11.1902 00:00;0;;
SRE;01.12.1902 00:00;3.2;;
SRE;02.12.1902 00:00;0.3;;
SRE;03.12.1902 00:00;1.1;;
SRE;04.12.1902 00:00;1.2;;
SRE;05.12.1902 00:00;0;;
SRE;06.12.1902 00:00;0;;
SRE;07.12.1902 00:00;1.9;;
SRE;08.12.1902 00:00;0;;
SRE;09.12.1902 00:00;0;;
SRE;10.12.1902 00:00;0;;
SRE;11.12.1902 00:00;0;;
SRE;12.12.1902 00:00;0;;
